1,18d0
< 142475,STARLINK,"STARLINK INTERNET SERVICE"
< 14593,SPACEX-STARLINK,"Space Exploration Technologies Corporation"
< 204791,STARLINK-CRIMEA,"Starlink Crimea Ltd."
< 207565,STARLINK,"STARLINK for the Supply & Services of Telecommunication & Internet Co. LTD / Private Company"
< 212210,WEBSTARLINK,"Sheremet Aleksey"
< 25076,ISTARLINK,"KTV Istar Ltd."
< 264228,BRASIL-STARLINK-TELECOMUNICACOES,"BRASIL STARLINK TELECOMUNICACOES LTDA - EPP"
< 27277,SPACEX,"Space Exploration Technologies Corporation"
< 34602,STARLINK,"MEGASVYAZ LLC"
< 3488,JAXANET,"Information Systems Department, Japan Aerospace Exploration Agency"
< 397763,SPACEX-STARLINK-MC,"SpaceX Services, Inc."
< 40714,SPACEX-SERVICES,"Space Exploration Technologies Corporation"
< 49854,STARLINKCOUNTRY,"Starlink Country LLC"
< 50494,STARLINK,"STARLINK LTD"
< 9606,ISAS,"Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency"
< 53348,SPACEX-SWARM,"Space Exploration Technologies Corporation"
< 152110,SPACEXONLINE-AP,"SpaceX Online"
< 214600,ORG-SSL125-RIPE,"StarLink Solutions LTD"
